Rule	Tool	Count
BS1	CardioClassifier	5
PM2	CardioClassifier	213
PM4	CardioClassifier	6
PP3	CardioClassifier	70
PP5	CardioClassifier	0
PS4	CardioClassifier	65
PVS1	CardioClassifier	87
PP2	CardioClassifier	53
PM5_supporting	CardioClassifier	5
PM1	CardioClassifier	42
PM5	CardioClassifier	22
PVS1_strong	CardioClassifier	6
BA1	CardioClassifier	1
BP4	CardioClassifier	0
BP6	CardioClassifier	0
BS2	CardioClassifier	0
BP1	CardioClassifier	0
PS1_moderate	CardioClassifier	4
BS1	InterVar	0
PM2	InterVar	202
PM4	InterVar	4
PP3	InterVar	30
PP5	InterVar	196
PS4	InterVar	0
PVS1	InterVar	67
PP2	InterVar	3
PM5_supporting	InterVar	0
PM1	InterVar	7
PM5	InterVar	0
PVS1_strong	InterVar	0
BA1	InterVar	0
BP4	InterVar	1
BP6	InterVar	1
BS2	InterVar	2
BP1	InterVar	8
PS1_moderate	InterVar	0
